# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
Don Fussell	label	Q28112918
Don Garrett	label	Q112390623
Don H. Morris	label	Q112373606
Don H. Shimamoto	label	Q102175226
Don Harding	label	Q41803604
Don Harper Mills	label	Q63307185
Don Herrmann	label	Q112549521
Don Hong	label	Q102168581
Don Hopkins	label	Q592931
Don Howard	label	Q62096486
Don Ihde	label	Q5292818
Don J. DeVoretz	label	Q110379761
Don J. Webber	label	Q30077939
Don Joffray	label	Q94518841
Don Kirkham	label	Q5292923
Don Koks	label	Q102303960
Don L. Anderson	label	Q151861
Don L. Lind	label	Q707626
Don L. McLeish	label	Q102219175
Don Lancaster	label	Q736344
Don Lavoie	label	Q3713556
Don Lincoln	label	Q5293008
Don Llewellyn	label	Q96244820
Don Mansur	label	Q66049568
Don Marquis	label	Q1239701
Don Mattrick	label	Q3035842
Don McCaskill	label	Q113821213
Don McNeil	label	Q94510902
Don Misener	label	Q5293165
Don Northcote	label	Q21165966
Don Owen Loftsgaarden	label	Q102164703
Don Paarlberg	label	Q5293265
Don Page	label	Q3035873
Don Passey	label	Q113749625
Don Patinkin	label	Q2367424
Don Peppers	label	Q5293311
Don Philip Clark	label	Q30083062
Don Pigozzi	label	Q93435666
Don Prickett	label	Q26997455
Don R. Swanson	label	Q4500274
Don Raymond Lick	label	Q102157189
Don Ross	label	Q112407501
Don S. Batory	label	Q28112914
Don Sannella	label	Q5293472
Don Shin	label	Q117216250
Don Soderquist	label	Q26966421
Don Stannard-Friel	label	Q125957745
Don Stephen Lemons	label	Q112492322
Don Stevens	label	Q107533535
Don Syme	label	Q3655362
Don Tapscott	label	Q984369
Don Towsley	label	Q5293623
Don U. A. Galagedera	label	Q30083997
Don W. Challen	label	Q106097719
Don Walther	label	Q98113238
Don Watkins	label	Q17015784
Don Woods	label	Q2614997
Don Ylvisaker	label	Q102113735
Don Zagier	label	Q574620
Dona Bailey	label	Q3713605
Dona Sarkar	label	Q26923407
Dona Strauss	label	Q68990899
Donadiu	family	Q55837788
Donaghy	family	Q112546837
Donahue	family	Q56836403
Donal Bradley	label	Q111453
Donal Bredin	label	Q30084325
Donal Connolly	label	Q102419959
Donal Denvir	label	Q56702524
Donal O'Neill	label	Q41800849
Donal O'Regan	label	Q93427625
Donal O'Shea	label	Q3713614
Donald	family	Q101693590
Donald A. "Skip" Walker	label	Q68339647
Donald A. Cress	label	Q112555348
Donald A. Crosby	label	Q5293925
Donald A. Dawson	label	Q4502303
Donald A. Enarson	label	Q55724702
Donald A. Gillies	label	Q5293928
Donald A. Gurnett	label	Q29917785
Donald A. Lutz	label	Q15806308
Donald A. Marchand	label	Q124643954
Donald A. Martin	label	Q176776
Donald A. Pierce	label	Q102199756
Donald A. Ross	label	Q126414390
Donald A. S. Fraser	label	Q19878056
Donald Alan Norton	label	Q102156804
Donald Alastair Trumpler	label	Q102169010
Donald Alfred Carnahan	label	Q102302797
Donald Allan Darling	label	Q1239679
Donald Allan Ramsay	label	Q21165958
Donald Anderson Edwards	label	Q113481913
Donald Andrew Hay	label	Q96621095
Donald Andrews	label	Q1239686
Donald Arnush	label	Q94873265
Donald Arthur Gallagher	label	Q65015145
Donald Arthur Glaser	label	Q80905
Donald Arthur Nichols	label	Q102741348
Donald Arthur Waterman	label	Q59626586
Donald Asogu Adjeroh	label	Q103148419
Donald B. Billings	label	Q131910812
Donald B. Coleman	label	Q95289837
Donald B. Gillies	label	Q3710399
Donald B. Johnson	label	Q5293994
Donald B. Marron Jr.	label	Q5293995
Donald B. McAlister	label	Q94502675
Donald B. McCormick	label	Q56230092
Donald B. Owen	label	Q59629712
Donald B. Parker	label	Q95762572
Donald B. Percival	label	Q102110041
Donald B. Rubin	label	Q5295094
Donald Baganoff	label	Q102121649
Donald Bannerman Macleod	label	Q17626959
Donald Barkauskas	label	Q102257675
Donald Barthelme	label	Q353869
Donald Becker	label	Q3312656
Donald Bentley	label	Q130633262
Donald Birx	label	Q134622705
Donald Braben	label	Q5294053
Donald Brinkmann	label	Q17194410
Donald Bruce MacVean	label	Q102237557
Donald Bungum	label	Q113811913
Donald Burdick	label	Q102190042
Donald Burgess McNeill	label	Q97066393
Donald Burkholder	label	Q4300810
Donald Burt	label	Q5294098
Donald C. Ainslie	label	Q119110535
Donald C. B. Marsh	label	Q102163733
Donald C. Hambrick	label	Q28796025
Donald C. Pfaff	label	Q63565759
Donald C. Spencer	label	Q381301
Donald C. Stinson	label	Q112376736
Donald C. Stockbarger	label	Q126910942
Donald Campbell	label	Q131284041
Donald Charles Rung	label	Q102165517
Donald Chester Weber	label	Q102221977
Donald Clark Hodges	label	Q59627755
Donald Cochrane	label	Q18646067
Donald Cooksey	label	Q5294188
Donald Cox	label	Q41805553
Donald Cress	label	Q131363417
Donald D. Blankenship	label	Q62392769
Donald D. Bogard	label	Q107234964
Donald D. Chamberlin	label	Q93071
Donald D. Clayton	label	Q5294211
Donald D. Evans	label	Q5294210
Donald D. Hester	label	Q102121772
Donald D. T. Chen	label	Q112448638
Donald Dale Elliott	label	Q102163776
Donald Dalglish McGregor	label	Q111448417
Donald Davidson	label	Q311772
Donald Davies	label	Q1240482
Donald Davis	label	Q1239795
Donald Dewey	label	Q5294247
Donald Dines Wall	label	Q3036006
Donald E. Agthe	label	Q96777146
Donald E. Eastlake 3rd	label	Q55960831
Donald E. Kerr	label	Q64013984
Donald E. Kibbey	label	Q95226827
Donald E. Kieso	label	Q93434081
Donald E. Ramirez	label	Q57431602
Donald E. Skabelund	label	Q66814637
Donald E. Weller	label	Q56383868
Donald Earl Miller	label	Q16379772
Donald Edward Catlin	label	Q102131772
Donald Elliot Anthony	label	Q64831097
Donald Engelman	label	Q5294310
Donald Eperson	label	Q37728522
Donald Eugene Richmond	label	Q102128179
Donald Eugene Sanderson	label	Q102128206
Donald F. DuBois	label	Q102352679
Donald F. Duclow	label	Q113824632
Donald F. Ferguson	label	Q16193577
Donald F. Gustafson	label	Q93270448
Donald F. Henze	label	Q113751103
Donald F. Holcomb	label	Q56255804
Donald F. Kuratko	label	Q112395566
Donald F. Larson	label	Q41805389
Donald F. Morrison	label	Q102273921
Donald F. St. Mary	label	Q12889666
Donald F. Wood	label	Q112371020
Donald F. Young	label	Q112490868
Donald Farley	label	Q10268267
Donald Ford Stanat	label	Q102114431
Donald G. Coyne	label	Q132853604
Donald G. Crabb	label	Q29545915
Donald G. Higman	label	Q1239881
Donald G. Marshall	label	Q121298544
Donald G. Saari	label	Q560834
Donald G. Watts	label	Q102124500
Donald G. Wyant	label	Q139090681
Donald Geman	label	Q5294412
Donald Geoffrey Charlton	label	Q16856098
Donald George Babbitt	label	Q102146955
Donald George Doran	label	Q136569800
Donald George Heckerman	label	Q102511893
Donald Ginsberg	label	Q1239905
Donald Goldfarb	label	Q15806309
Donald Goldsmith	label	Q93372077
Donald Gordon M. Anderson	label	Q96654375
Donald Gordon Tulloch	label	Q138853370
Donald Graeme Bailey	label	Q112468136
Donald Greenspan	label	Q102121710
Donald Gregory MacEachern	label	Q102273951
Donald Guthrie, Jr.	label	Q102257532
Donald H. Dutkowsky	label	Q30084378
Donald H. Kelly	label	Q56751344
Donald H. Potts	label	Q102163234
Donald H. Sanders	label	Q106351052
Donald H. Tarling	label	Q58961528
Donald Hazlewood	label	Q102176404
Donald Hearn	label	Q103841108
Donald Henry Ballou	label	Q102198405
Donald Herbert Schultz	label	Q24218409
Donald Heyneman	label	Q131442739
Donald Hill Perkins	label	Q1239928
Donald Hill Rock	label	Q102128150
Donald Hirsch	label	Q112510893
Donald Holmes Hyers	label	Q102157879
Donald Holt Loughridge	label	Q102115511
Donald Hubin	label	Q61679848
Donald Huffman	label	Q17279357
Donald Iglehart	label	Q15806310
Donald Ipperciel	label	Q56000747
Donald Ivan Kiel	label	Q102267833
Donald Ivar Knutson	label	Q102156381
Donald Ivey	label	Q5294549
Donald J. Albers	label	Q95233115
Donald J. Boudreaux	label	Q5294552
Donald J. Bowersox	label	Q112396964
Donald J. Brown	label	Q41800156
Donald J. Bungum	label	Q113733688
Donald J. Cocheba	label	Q131296055
Donald J. Curran	label	Q103067904
Donald J. Estep	label	Q95180195
Donald J. Harris	label	Q60894135
Donald J. Hughes	label	Q5294573
Donald J. Miller	label	Q102193421
Donald J. Montgomery	label	Q113998421
Donald J. Munro	label	Q111022041
Donald J. Newman	label	Q5294582
Donald J. Patterson	label	Q102229135
Donald J. Savoie	label	Q17198689
Donald J. Smith	label	Q112517669
Donald J. Tendam	label	Q113453951
Donald J. Wheeler	label	Q5294590
Donald J. Wright	label	Q30079303
Donald Jacobs	label	Q102207265
Donald James Van Arman	label	Q138320338
Donald Jerry Deckard	label	Q102170335
Donald Johannessen	label	Q137680566
Donald John Charles Bures	label	Q102168831
Donald John Lewis	label	Q5294607
Donald John Roberts	label	Q5294608
Donald Joseph Curran	label	Q102200160
Donald Joseph Hansen	label	Q102201690
Donald Joseph Peck	label	Q112541402
Donald Kaberuka	label	Q178027
Donald Kalish	label	Q1240012
Donald Keck	label	Q5294630
Donald Keim	label	Q28859866
Donald Kerr	label	Q5294640
Donald King	label	Q107546809
Donald Kingsbury	label	Q3036044
Donald Kirkpatrick	label	Q282187
Donald Kniffen	label	Q80453595
Donald Knuth	label	Q17457
Donald Kohn	label	Q4578340
Donald Kossmann	label	Q102344087
Donald Kouri	label	Q30323345
Donald Kreider	label	Q102194198
Donald Kuspit	label	Q5294655
Donald L. Epley	label	Q65965791
Donald L. Shell	label	Q93133
Donald L. Sparks	label	Q105726564
Donald L. Stevens, Jr.	label	Q103321221
Donald L. Turcotte	label	Q1240045
Donald L. Volz	label	Q104840324
Donald L. Webb	label	Q102161294
Donald Lamberton	label	Q20877138
Donald Landes	label	Q79031434
Donald Laurence Thomsen, Jr.	label	Q102168996
Donald Lawson Kreher	label	Q102143119
Donald Lee Cohn	label	Q102272796
Donald Lee Curlovic	label	Q102133829
Donald Lee Simon	label	Q102257882
Donald Lee Williams	label	Q112399766
Donald Lehmann	label	Q77175505
Donald Leo Muench	label	Q102257446
Donald Levy	label	Q16221578
Donald Livingston	label	Q5294714
Donald Livingstone	label	Q102110542
Donald Loose	label	Q55621881
Donald Ludwig	label	Q58003607
Donald Luskin	label	Q5294720
Donald M Evans	label	Q86093981
Donald M. Borchert	label	Q113784197
Donald M. Chiarulli	label	Q116838710
Donald M. Johnson	label	Q119522459
Donald M. MacKinnon	label	Q5294732
Donald M. Platte	label	Q102166735
Donald M. Stablein	label	Q102197538
Donald MacCrimmon MacKay	label	Q3036050
Donald MacDougall	label	Q1905856
Donald MacLaren	label	Q30077965
Donald Macmillan	label	Q37735718
Donald Malec	label	Q107488164
Donald Markwell	label	Q3036060
Donald Marolf	label	Q5294808
Donald Marquardt	label	Q3036061
Donald Marxen	label	Q95763186
Donald Matthew Moliver	label	Q103087646
Donald McIntosh	label	Q5294841
Donald Melrose	label	Q5294874
Donald Merrifield	label	Q5294878
Donald Michael Witt	label	Q102355490
Donald Michie	label	Q93119
Donald Miller Davis	label	Q102136134
Donald Moggridge	label	Q29017322
Donald N. Langenberg	label	Q5294921
Donald Norman	label	Q92804
Donald O. Norris	label	Q95762507
Donald O. Parsons	label	Q41803329
Donald Outing	label	Q16946079
Donald Oxford York	label	Q113739004
Donald P. Gaver Jr.	label	Q58011606
Donald P. Greenberg	label	Q5294966
Donald P. Morgan	label	Q41804781
Donald Pack	label	Q37736582
Donald Palmer	label	Q16734062
Donald Parker Maxwell	label	Q112559940
Donald Parruca	label	Q103004487
Donald Paul Blayney	label	Q103053015
Donald Pederson	label	Q482318
Donald Perlis	label	Q102157544
Donald Peterson	label	Q112512594
Donald Peyrot	label	Q137738347
Donald Phillip Verene	label	Q179052
Donald Pollard Ballou	label	Q102148181
Donald Porter	label	Q102373692
Donald Preziosi	label	Q5295008
Donald Pushpakumara Sri Jayawerdene Don Manuelge Don	label	Q112454772
Donald R. Burleson	label	Q112242012
Donald R. Curran	label	Q111154381
Donald R. Hamann	label	Q56873508
Donald R. Herriott	label	Q1240269
Donald R. January Smith	label	Q61161768
Donald R. Ostberg	label	Q95765304
Donald R. Slutz	label	Q126896571
Donald R. Weidman	label	Q95239635
Donald Ramotar	label	Q57422
Donald Ransom Whitney	label	Q24284331
Donald Rasmussen	label	Q112461661
Donald Ratajczak	label	Q5295039
Donald Ray Ester Nichols	label	Q103027022
Donald Ray Sherbert	label	Q102121617
Donald Ray Snodgrass	label	Q15126660
Donald Ray Wiff	label	Q30672913
Donald Rayl Wilken	label	Q102167227
Donald Renwick Hodgman	label	Q102794685
Donald Richard Chalice	label	Q102164170
Donald Richards	label	Q23540795
Donald Robertson	label	Q113397475
Donald Robson	label	Q1240290
Donald Ross Hamilton	label	Q102116366
Donald Rozinak Beaver	label	Q102266940
Donald Rutherford	label	Q74467968
Donald S. Baim	label	Q50759132
Donald S. Coffey	label	Q28062360
Donald S. Cohen	label	Q82103586
Donald S. Kenkel	label	Q41805588
Donald S. Lee	label	Q120598892
Donald S. Moore	label	Q108803199
Donald S. Passman	label	Q95342689
Donald S. Rodbell	label	Q113998423
Donald S. Siegel	label	Q30069257
Donald Sadler	label	Q19325441
Donald Samuel Ornstein	label	Q441210
Donald Sant	label	Q106366931
Donald Sarason	label	Q15456189
Donald Scherer	label	Q112448211
Donald Schön	label	Q3036094
Donald Scott	label	Q119726625
Donald Shapero	label	Q134602596
Donald Singley	label	Q102173517
Donald Skilton	label	Q102484252
Donald Solitar	label	Q17711302
Donald Spector	label	Q102305289
Donald Spencer Fussell	label	Q102129368
Donald Statler Villars	label	Q112443744
Donald Stewart	label	Q102143335
Donald Sull	label	Q137802249
Donald T. Piele	label	Q102228183
Donald Thompson	label	Q107533537
Donald Titterington	label	Q102248926
Donald Truax	label	Q102163879
Donald Turner Searls	label	Q102222137
Donald V. Reames	label	Q118134307
Donald Violette	label	Q28742700
Donald Vitaliano	label	Q103041098
Donald W. Blackett	label	Q94929549
Donald W. Crowe	label	Q95323256
Donald W. Green	label	Q99827055
Donald W. Hadwin	label	Q102122691
Donald W. Katzner	label	Q102608569
Donald W. Loveland	label	Q5295258
Donald W. Mertz	label	Q112364655
Donald W. O'Connell	label	Q111057054
Donald W. Olson	label	Q106825569
Donald W. Peaceman	label	Q113003559
Donald Waldman	label	Q102442722
Donald Walhout	label	Q113740744
Donald Ward Dubois	label	Q102216640
Donald Wayne Bushaw	label	Q95303397
Donald Wayne Grace	label	Q102164852
Donald Wayne Viney	label	Q112398127
Donald Weddington	label	Q16946081
Donald Weingarten	label	Q15454436
Donald Wells	label	Q134533188
Donald Werner Anderson	label	Q102123101
Donald West	label	Q102557573
Donald West Harward	label	Q5295302
Donald Wiebe	label	Q112507395
Donald William Fry	label	Q123270639
Donald William Kerst	label	Q1240491
Donald William Pashley	label	Q21165972
Donald Williams	label	Q12889667
Donald Winch	label	Q30334648
Donald Wittman	label	Q41805871
Donald Wood	label	Q125920981
Donald Ying Yau	label	Q112496569
Donaldson	family	Q102244792
Donandt	family	Q126595025
Donat	family	Q102195715
Donat Hofmann	label	Q95481399
Donat Kirsch	label	Q27902383
Donat Mierzejewski	label	Q97171134
Donat Ogorodnikov	label	Q140247118
Donat Wegner	label	Q102412569
Donata Gerhards	label	Q126594257
Donata Irena Trotman-Dickenson	label	Q112439322
Donata Maria Kopańska-Bródka	label	Q138545957
Donata Schoeller	label	Q113715638
Donatas Čygas	label	Q12653195
Donatas Švitra	label	Q1240610
Donate Weghorn	label	Q64691610
Donatella Cassettari	label	Q62662547
Donatella Castelli	label	Q18703769
Donatella Cosima Anna Aquaro	label	Q116977028
Donatella Danielli	label	Q29368790
Donatella Depperu	label	Q116977019
Donatella Di Cesare	label	Q1240606
Donatella Donatelli	label	Q96341633
Donatella Iacono	label	Q21541847
Donatella Merlini	label	Q59622021
Donatella Morea	label	Q130778216
Donatella Pagliacci	label	Q93221692
Donatella Persico	label	Q112515115
Donatella Porrini	label	Q93080022
Donatella Radicchi	label	Q109653702
Donatelli	family	Q27835105
Donatello Telesca	label	Q102318130
Donath	family	Q29954516
Donati	family	Q2265720
Donatiello	family	Q21542356
Donatien Tafin Djoko	label	Q127510119
Donatini	family	Q102326342
Donato	family	Q102230939
Donato Acciaioli	label	Q1240697
Donato Antonio Ferro	label	Q116976671
Donato Benincasa	label	Q138667181
Donato Bergandi	label	Q115617488
Donato Bini	label	Q56572135
Donato Di Sapia	label	Q112215020
Donato Di Stasi	label	Q112216341
Donato Greco	label	Q131250966
Donato Impedovo	label	Q57470749
Donato Jaja	label	Q3713768
Donato Masciandaro	label	Q30075469
Donato Menichella	label	Q782356
Donato Palumbo	label	Q28921566
Donato Romano	label	Q46756414
Donato Rossetti	label	Q18945215
Donato Salamina	label	Q116742178
Donato Tommasi	label	Q6212980
Donato Trigiante	label	Q102111910
Donato Verardi	label	Q113784224
Donay	family	Q95248136
Doncaster G. Humm	label	Q124200863
Donceel	family	Q93248310
Doncho Gradev	label	Q55399105
Doncho Papazov	label	Q3656727
Dondeyne	family	Q2114268
Dondi	family	Q1296705
Dondua	family	Q130392612
Donegan	family	Q41532862
Donev	family	Q102412739
Dong	family	Q102261192
Dong C. Liu	label	Q102529537
Dong Chen	label	Q116777962
Dong Fureng	label	Q10513438
Dong Han Kim	label	Q102341549
Dong Jiahong	label	Q60992919
Dong Li	label	Q30077984
Dong Liu	label	Q139960552
Dong Tiebao	label	Q109178186
Dong Wenjie	label	Q125424920
Dong Wuxin	label	Q67155300
Dong Xiang	label	Q57114407
Dong Ye	label	Q102399946
Dong Yeap Kang	label	Q102105394
Dong Youcheng	label	Q17500756
Dong Yu	label	Q137918961
Dong Zhongshu	label	Q445626
Dong-Bin Jeong	label	Q102196247
Dong-Gao Deng	label	Q93433748
Dong-Han Yeom	label	Q59589320
Dong-Sung Cho	label	Q105706547
Dong-Uy Shin	label	Q103309732
Dong-Yun Kim	label	Q102173658
Dongarra	family	Q92670
Dongbin Xiu	label	Q102279220
Dongchu Sun	label	Q102183292
Dongchul Cho	label	Q127225100
Dongdong Sun	label	Q103361071
Donges	family	Q112512890
Dongfang	family	Q1190966
Dongfang Shuo	label	Q1190966
Dongfang Zhao	label	Q64825730
Donggyu Kim	label	Q131573620
Donggyu Sul	label	Q30072634
Donghai Hu	label	Q124643866
Donghee Kim	label	Q61697214
Dongho Byeon	label	Q102105476
Dongho Chae	label	Q102201362
Dongho Kim	label	Q102271262
Dongho Won	label	Q85769818
Donghoh Kim	label	Q102208561
Donghong Ning	label	Q132124716
Donghoon Lee	label	Q60056110
Donghua Chen	label	Q87901021
Donghui Hu	label	Q124643892
Donghui Zhang	label	Q102338348
Donghwan Jeon	label	Q102400403
Donghyuk Kim	label	Q103340164
Donghyun Park	label	Q30074454
Dongier	family	Q27835031
Dongjin Son	label	Q102355811
Dongjin Song	label	Q102922493
Dongliang Peng	label	Q102900973
Dongping Zhong	label	Q88555820
Dongseok Kim	label	Q102724224
DongSeon Hwang	label	Q102400649
Dongsheng Tang	label	Q90258814
Dongsoo Shin	label	Q30084928
Dongtai He	label	Q103052562
Dongwan Shin	label	Q102196509
Dongwon Lee	label	Q102255888
Dongwoo Sheen	label	Q102082353
Dongwoo Yoo	label	Q102707300
Dongxi Ye	label	Q103053030
Dongxiao Zhang	label	Q61312342
Dongxu Qi	label	Q117463277
Dongyi Wei	label	Q103272883
Dongyoung Roh	label	Q62036620
Donhee Ham	label	Q16214866
Donia	family	Q138844844
Doniach	family	Q7442403
Donig	family	Q126592368
Donimirski	family	Q596195
Donini	family	Q94973735
Donk	family	Q42054552
Donka Ivanova Aleksandrova	label	Q136892631
Donkin	family	Q102116314
Donkor	family	Q112455466
Donkó	family	Q60761626
Donle	family	Q55677636
Donleavy	family	Q58166632
Donley	family	Q102712537
Donn B. Parker	label	Q5296266
Donn E. Rosen	label	Q5813436
Donn Welton	label	Q102435166
Donna Allen	label	Q30609690
Donna Ankerst	label	Q58241772
Donna Auguste	label	Q10942
Donna Brogan	label	Q42666077
Donna D. Elbert	label	Q114027427
Donna Dickenson	label	Q2049511
Donna Gilleskie	label	Q29571000
Donna Ginther	label	Q50877851
Donna Haraway	label	Q253407
Donna Jeanne Lucas Watts	label	Q102207410
Donna Kalmbach Phillips	label	Q135442735
Donna Lanclos	label	Q62572361
Donna M. Hughes	label	Q5296399
Donna M. Orange	label	Q112544849
Donna Marie Carr	label	Q102193374
Donna Naples	label	Q124962875
Donna Nelson	label	Q55220
Donna Sheng	label	Q105900376
Donna Shoupe	label	Q114776539
Donna Strickland	label	Q56855591
Donna Testerman	label	Q67222731
Donnachie	family	Q28738092
Donnadieu	family	Q112407008
Donnan	family	Q571640
Donnat	family	Q63438967
Donnell W. Boardman	label	Q11322765
Donnellan	family	Q1397057
Donnellon	family	Q112389429
Donnelly	family	Q102176111
Donner	family	Q102252105
Donnet	family	Q115597544
Donniel Hartman	label	Q5296700
Donninger	family	Q102397855
Donnithorne	family	Q101064432
Donny Gahral Adian	label	Q20426450
Dono	family	Q60058964
Donoghue	family	Q5257208
Donoho	family	Q1114742
Donohue	family	Q102975868
Donolato	family	Q123901444
Donoso	family	Q723141
Donovan	family	Q105155063
Donovan L. Moorehead	label	Q83499140
Donovan Schneider	label	Q102265816
Dons	family	Q12010337
Donskoy	family	Q4166395
Donsub Rim	label	Q102687859
Donval	family	Q112502810
Donvito	family	Q16559865
Dony De Nuccio	label	Q37805738
Donzel	family	Q30123775
Donzelli	family	Q55227171
Donzé	family	Q102407890
Donà	family	Q3851240
Donát Bonifert	label	Q130492949
Donáth	family	Q16519122
Dončo Dimovski	label	Q93142545
Doob	family	Q1384876
Doofenshmirtz	family	Q2996360
Doojin Kim	label	Q64859901
Doolan	family	Q102232754
Dooley	family	Q16210961
Doolittle	family	Q23712235
Dooms	family	Q102271762
Doorman	family	Q102401476
Doornbos	family	Q102218728
Doortje Smithuijsen	label	Q123597492
Doosoo Kim	label	Q102872534
Dootika Vats	label	Q103043349
Dooyeweerd	family	Q1987739
Dop	family	Q55876282
Dopfer	family	Q48042759
Dopico	family	Q120096195
Doplicher	family	Q22669799
Doporto	family	Q19949887
Dopp	family	Q55772280
Doppelbauer	family	Q126595878
Doppelmayr	family	Q85153
Doppler	family	Q126598268
Dor	family	Q102236353
Dor Guez	label	Q5297364
Dor Minzer	label	Q103037216
Dora Altbir	label	Q64950390
Dora Benjamin	label	Q18620538
Dora Egorovna Vasilyeva	label	Q20621826
Dora Elvira García González	label	Q15830094
Dora Giammarresi	label	Q116977065
Dora Jacobsohn	label	Q16595323
Dora L. Costa	label	Q5297414
Dora Leypunskaya	label	Q90905429
Dora Marsden	label	Q460349
Dora Metcalf	label	Q94158458
Dora Musielak	label	Q58885799
Dora Prölß	label	Q55859178
Dora Richardson	label	Q130901896
Dora Siliya	label	Q1243653
Dorai Sitaram	label	Q102313416
Dorairaj Somasundaram	label	Q65973145
Doraiswami Ramkrishna	label	Q5297489
Dorak	family	Q112453723
Dorald M. Allred	label	Q112394740
Doran	family	Q136569800
Dorando J. Michelini	label	Q113822083
Dorath Pinto Uchôa	label	Q10268357
Dorathi Keili	label	Q65042590
Dorazio	family	Q59682381
Dorcas Muthoni	label	Q5297566
Dordi	family	Q105600331
Dordzhi Antonovich Pavlov	label	Q15077401
Dore	family	Q3893998
Doreen Fischer	label	Q102390266
Doreen Kobelt	label	Q113734199
Doreen Massey	label	Q1156266
Doreen Rosenstrauch	label	Q5297681
Doreen Sebastian Sarwatt	label	Q134966353
Doreen Stabinsky	label	Q112537582
Doreen Straßburger	label	Q102303626
Doreen Thomas	label	Q41048802
Doreen Wackeroth	label	Q119857064
Dorel Duca	label	Q18539861
Dorendorf	family	Q102764990
Doret	family	Q80572752
Doretto	family	Q67390434
Dorey	family	Q83883708
Dorfan	family	Q6273763
Dorff	family	Q19667118
Dorfleitner	family	Q61914267
Dorfles	family	Q2273489
Dorfman	family	Q112452238
Dorfmüller	family	Q108457573
DorFuchs	label	Q19502168
Dorgelo	family	Q3438016
Dorgerloh	family	Q102221169
Dorgival Olavo Guedes	label	Q102364391
Dori	family	Q17612255
Doria	family	Q113829486
Doria Pilling	label	Q112521453
Doria Shafik	label	Q4120224
Dorian Arnold	label	Q102355649
Dorian Astor	label	Q43455217
Dorian Burihabwa	label	Q126364887
Dorian Feldman	label	Q102188996
Dorian Istratii	label	Q109000936
Dorian M. Goldfeld	label	Q726393
Dorian Merz	label	Q126691731
Dorian Perkins	label	Q102443104
Dorian Scholz	label	Q102435529
Dorian Shainin	label	Q710275
Doriano Brogioli	label	Q92038226
Dorien Emmers	label	Q133805798
Dorien Herremans	label	Q50786347
Dorien Verbree	label	Q106119781
Dorigo	family	Q3290091
Dorijan Marušič	label	Q15912352
Dorin Andrica	label	Q59610781
Dorin Comaniciu	label	Q29019874
Dorin Drăguțanu	label	Q5297838
Dorin Geiger	label	Q27908237
Dorin Ieșan	label	Q12726952
Dorin Liviu Zaharia	label	Q5297840
Dorin O. Neacşu	label	Q118423629
Dorin Popescu	label	Q102278944
Dorin Preda	label	Q102421778
Dorina Mihăilescu	label	Q12726964
Dorina Mitrea	label	Q67187129
Dorion Cairns	label	Q55848878
Doris Aschenbrenner	label	Q113846054
Doris Becher-Hedenus	label	Q95756838
Doris Berger-Grabner	label	Q61283763
Doris Brenner	label	Q112416609
Doris Calloway	label	Q21597803
Doris Carver	label	Q107291504
Doris Cohen	label	Q28709854
Doris Daurer	label	Q112668999
Doris Fischer	label	Q108378059
Doris Fischer-Colbrie	label	Q97109437
Doris Folini	label	Q102311707
Doris Galinski	label	Q113773207
Doris Gerber	label	Q95262381
Doris Gruber	label	Q132421205
Doris Gómez Ticerán	label	Q137999497
Doris Hanzl-Weiss	label	Q112562900
Doris Hausen	label	Q102665267
Doris Huestis Speirs	label	Q16856864
Doris Kern	label	Q132661207
Doris Kortus-Schultes	label	Q132273987
Doris Kurella	label	Q113790271
Doris Lloyd Grosh	label	Q102401298
Doris Maja Krüger	label	Q113736264
Doris Neuberger	label	Q41798776
Doris Pfeiffer	label	Q111033911
Doris Posch	label	Q134313614
Doris Prechel	label	Q64019466
Doris Reisinger	label	Q61732446
Doris Ritzberger-Grünwald	label	Q112444224
Doris Salome Tupacyupanqui Jaén	label	Q124097025
Doris Schattschneider	label	Q1245317
Doris Schiöberg	label	Q102522013
Doris Schroeder	label	Q112522559
Doris Vollmer	label	Q130824355
Doris Weichselbaumer	label	Q41799007
Doris Wendler	label	Q139376287
Doris Zallen	label	Q29575535
Dorismond	family	Q109127286
Dorit Aharonov	label	Q9594
Dorit Bar-On	label	Q27733968
Dorit Barchana-Lorand	label	Q95747135
Dorit Dor	label	Q102236353
Dorit Glawion	label	Q125267067
Dorit Linaschke	label	Q68754383
Dorit S. Hochbaum	label	Q20085735
Dorival Gonçalves	label	Q87488466
Dorje Batuu	label	Q46967337
Dorje C. Brody	label	Q50330994
Dorju Kuular	label	Q16495187
Dork Sahagian	label	Q5298034
Dorland J. Davis	label	Q113633613
Dorman	family	Q130773986
Dormann	family	Q102549
Dormidont Petrovich Kolyankovskii	label	Q102306671
Dormitzer	family	Q100941343
Dormoy	family	Q12833079
Dormy	family	Q60737490
Dorn	family	Q102230693
Dorna	family	Q3609988
Dornberger	family	Q102220616
Dornbusch	family	Q653517
Dorndorf	family	Q130765090
Dornelles	family	Q8962336
Dorner	family	Q102221882
Dornieden	family	Q102364799
Dorno	family	Q105488
Dornseifer	family	Q130766799
Doroba	family	Q114877197
Dorodjatun Kuntjoro-Jakti	label	Q5298156
Dorofeyev	family	Q15065992
Dorofeyeva	family	Q4166975
Dorolle	family	Q47008104
Doron	family	Q5216991
Doron A. Peled	label	Q95398393
Doron Avital	label	Q2332924
Doron Cohen	label	Q49733417
