# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
A. J. E. M. Janssen	label	Q102238703
A. J. H. Latham	label	Q63699571
A. J. Hagger	label	Q106097743
A. J. Millard	label	Q112516483
A. J. Pressland	label	Q95762669
A. J. Preston	label	Q66446604
A. J. W. Duijvestijn	label	Q2876215
A. Jackson-Smale	label	Q112564418
A. James (Arthur) Heins	label	Q103064513
A. James Gregor	label	Q3806574
A. Janardhanan Alse	label	Q102948831
A. Johannes Dolman	label	Q56557263
A. Johannes Schmidt-Hieber	label	Q102376999
A. John Berlinsky	label	Q102400179
A. John Petkau	label	Q102266447
A. Jon Berrick	label	Q102426230
A. Juffryakov	label	Q102345913
A. K. Dobruský	label	Q95361954
A. K. Jonscher	label	Q4648027
A. K. Md. Ehsanes Saleh	label	Q102252132
A. K. N. Ahmed	label	Q22958342
A. K. Shiva Kumar	label	Q4648037
A. Kamil Tahmiscioglu	label	Q102808055
A. Karim Abu-Affash	label	Q102415254
A. Kerem Coşar	label	Q102791445
A. Kh. Golʹmsten	label	Q15065465
A. L. Kaganovich	label	Q24846189
A. L. Lougheed	label	Q112436387
A. L. Rozenberg	label	Q102197644
A. Laurie Palmer	label	Q25000613
A. Lazar	label	Q95220981
A. Leslie Robb	label	Q102123368
A. Levin	label	Q102237169
A. M. Abirami	label	Q138265866
A. M. Andrew	label	Q112435630
A. M. Fink	label	Q94636706
A. M. Formalʹskiĭ	label	Q24352096
A. M. Jayannavar	label	Q42150897
A. M. Kagan	label	Q56096257
A. M. Kulʹkin	label	Q19618659
A. M. Mathai	label	Q4648132
A. M. Mirzoev	label	Q20604148
A. M. Safwan	label	Q140167681
A. M. Sarma	label	Q112558011
A. M. Ungar	label	Q112428679
A. Makarenko	label	Q29359166
A. Mark Fox	label	Q59453233
A. Martinez de la Ossa	label	Q59483299
A. Mary Tropper	label	Q102197940
A. Michael Noll	label	Q4648184
A. Mitchell Polinsky	label	Q20709053
A. Modinos	label	Q112375834
A. Monem Mahjoub	label	Q27957314
A. Mukhtarov	label	Q4309006
A. Murat Eren	label	Q58020325
A. Myrick (Albert) Freeman III	label	Q103013069
A. N. Aufa	label	Q137176602
A. N. Kochetov	label	Q19909701
A. N. Kopylov	label	Q18243976
A. N. Krestovnikov	label	Q98836190
A. N. Kruglov	label	Q95315335
A. N. Kuznetsov	label	Q102305147
A. N. M. Hamidullah	label	Q24943796
A. N. Nandakumar	label	Q140390731
A. N. Savinov	label	Q24846225
A. Nida-Rümelin	label	Q95241719
A. O. Bolivar	label	Q112396005
A. O. L. Atkin	label	Q278986
A. O. Paulus	label	Q112411784
A. Orlando Ortiz	label	Q124641699
A. P. Balachandran	label	Q4648223
A. P. Burmakov	label	Q27043183
A. P. G. de Moor	label	Q112524366
A. P. Isajev	label	Q108522339
A. P. Klinchin	label	Q21100831
A. P. Pinkevich	label	Q20083893
A. P. Subbotin	label	Q15075406
A. P. Zablochski-Desyatovski	label	Q4182483
A. Paige Fischer	label	Q58040673
A. Pampapathy Rao	label	Q131684193
A. Pelsser	label	Q112425188
A. Pharo Gagge	label	Q112440037
A. Prag	label	Q112467456
A. Praveen Kumar	label	Q125726041
A. Q. M. Bazlul Karim	label	Q4648274
A. R. Bakhtizin	label	Q43424570
A. R. Bridbury	label	Q18352602
A. R. Frank Wazzan	label	Q124254746
A. R. Gifkins	label	Q102188821
A. R. Prasanna	label	Q118631762
A. R. Rao	label	Q27478317
A. R. Reddy	label	Q102170343
A. Raghuramaraju	label	Q112477532
A. Raouf Chouikha	label	Q102232981
A. Razumov	label	Q55103890
A. Richard Newton	label	Q4648338
A. Richter	label	Q62033199
A. Robert Sadove	label	Q126918320
A. Rod Gover	label	Q27733889
A. Roitman	label	Q102237173
A. Ronald Gallant	label	Q4648347
A. Ross Eckler, Jr.	label	Q4648350
A. Ruijs	label	Q112521292
A. S. Dobroslavskij	label	Q112537475
A. S. Jayawardene	label	Q4648363
A. S. Joshi	label	Q131370571
A. S. Kline	label	Q112502365
A. S. Neill	label	Q316792
A. S. Predvoditelev	label	Q4376551
A. S. Sanz	label	Q62067303
A. S. Vecher	label	Q24010851
A. Salman Salman	label	Q102199565
A. Seth Greenwald	label	Q140382635
A. Sivakami	label	Q140606275
A. Smirnov	label	Q4424551
A. Steffenhagen	label	Q135298852
A. Stephen	label	Q136193345
A. T. Fedoruk	label	Q17043542
A. T. M. Zahurul Huq	label	Q131994915
A. T. Phillipson	label	Q46654113
A. Terne	label	Q112554469
A. Terry Bahill	label	Q76420297
A. V. Burdukov	label	Q4099487
A. V. Byalobzheskii	label	Q126602173
A. V. Dranov	label	Q4167718
A. V. Fadeev	label	Q16721283
A. V. Kanygin	label	Q21099241
A. V. Karabegov	label	Q102197670
A. V. Kononenko	label	Q102197684
A. V. Kuza	label	Q4244726
A. V. Nesterov	label	Q102306852
A. V. Pert︠s︡ev	label	Q4359383
A. V. Pigin	label	Q18634781
A. V. Selivanov	label	Q4413680
A. V. Senthil Kumar	label	Q112558151
A. V. Shileiko	label	Q112422786
A. V. Vinter	label	Q4111926
A. V. Zenʹkovskiĭ	label	Q16654012
A. van Tilburg	label	Q112514651
A. Varshavsky	label	Q132159647
A. Victor Adedeji	label	Q108126182
A. W. Benn	label	Q4648505
A. W. Deicke	label	Q102112980
A. W. F. Edwards	label	Q3618551
A. W. Lees	label	Q112503807
A. W. Liljenstrand	label	Q5951832
A. W. Moore	label	Q4648516
A. W. Mullineux	label	Q112395535
A. W. Musschenga	label	Q93236757
A. W. Peet	label	Q42207726
A. W. Prins	label	Q21712218
A. W. Pryor	label	Q4648518
A. W. Ross	label	Q125420830
A. Welford Castleman Jr.	label	Q27063036
A. Z. de Vries	label	Q124641516
A.-Mathieu Villon	label	Q60827752
A.B. Speekenbrink	label	Q20017659
A.C. Waszink	label	Q21684352
A.D. Roy	label	Q7936934
A.E.K. Ashiabor	label	Q16197472
A.G. Bördh	label	Q5600412
A.G. Vosper	label	Q95762361
A.I Abdusamedov	label	Q24352820
A.J. Han Vinck	label	Q4647201
A.M. Harun-ar-Rashid	label	Q4647251
A.N. Rai	label	Q16186854
A.N. Sorokin	label	Q29906049
A.R. Natarajan	label	Q4647288
A.S. Ferguson	label	Q93486423
A.T. Charlie Johnson	label	Q19564322
A.T. Skjeltorp	label	Q112424586
A.V. Balakrishnan	label	Q4647428
A.V. Tsvetajev	label	Q17617359
A.V. Zhuravskiĭ	label	Q22918671
A.W. (Bob) Coats	label	Q4647437
Aab	family	Q12361785
Aaberge	family	Q16898083
Aabloo	family	Q12359001
Aad Pruisken	label	Q102440888
Aad van der Vaart	label	Q20085778
Aader	family	Q12359385
Aaditeshwar Seth	label	Q102408172
Aaditya Mattoo	label	Q30070737
Aaditya Ramdas	label	Q97422440
Aadne Ore	label	Q12713191
Aado Luik	label	Q134716169
Aadu Andres Pilt	label	Q12358056
Aadu Arrak	label	Q121436124
Aadu Mirme	label	Q134734389
Aadu Ott	label	Q12358064
Aadu Paat	label	Q12358060
Aaen	family	Q2262668
Aagaard	family	Q20528263
Aage Bohr	label	Q103854
Aage Kristian Olsen Alstrup	label	Q67220730
Aage la Cour	label	Q12300242
Aage Petersen	label	Q2108553
Aagesen	family	Q138498809
Aakash Pant	label	Q136237700
Aakash Singh Rathore	label	Q113729132
Aakhut Em Bak	label	Q102221272
Aakvaag	family	Q87461236
Aalberg	family	Q56570114
Aalbers	family	Q112545604
Aalders	family	Q705647
Aaldert Compagner	label	Q102313646
Aaldert Wapstra	label	Q2653734
